date,amt_type,amount_DS,amount_RO,deficit_as_neg
"october, 2016",Receipt,136558000000.0,211046000000.0,-136558000000.0
"november, 2016",Receipt,62869000000.0,204968000000.0,-62869000000.0
"december, 2016",Receipt,14444000000.0,349631000000.0,-14444000000.0
"january, 2016",Receipt,-55163000000.0,313579000000.0,55163000000.0
"february, 2016",Receipt,192610000000.0,169147000000.0,-192610000000.0
"march, 2016",Receipt,108043000000.0,227848000000.0,-108043000000.0
"april, 2016",Receipt,-106455000000.0,438432000000.0,106455000000.0
"may, 2016",Receipt,52507000000.0,224604000000.0,-52507000000.0
"june, 2016",Receipt,-6252000000.0,329572000000.0,6252000000.0
"july, 2016",Receipt,112819000000.0,209998000000.0,-112819000000.0
"august, 2016",Receipt,107112000000.0,231327000000.0,-107112000000.0
"september, 2016",Receipt,-33445000000.0,356623000000.0,33445000000.0
"october, 2017",Receipt,45831000000.0,221692000000.0,-45831000000.0
"november, 2017",Receipt,136669000000.0,199875000000.0,-136669000000.0
"december, 2017",Receipt,27336000000.0,319204000000.0,-27336000000.0
"january, 2017",Receipt,-51257000000.0,344069000000.0,51257000000.0
"february, 2017",Receipt,192044000000.0,171713000000.0,-192044000000.0
"march, 2017",Receipt,176232000000.0,216584000000.0,-176232000000.0
"april, 2017",Receipt,-182428000000.0,455605000000.0,182428000000.0
"october, 2016",Outlay,,-347604000000.0,
"november, 2016",Outlay,,-267837000000.0,
"december, 2016",Outlay,,-364075000000.0,
"january, 2016",Outlay,,-258416000000.0,
"february, 2016",Outlay,,-361757000000.0,
"march, 2016",Outlay,,-335891000000.0,
"april, 2016",Outlay,,-331977000000.0,
"may, 2016",Outlay,,-277111000000.0,
"june, 2016",Outlay,,-323320000000.0,
"july, 2016",Outlay,,-322817000000.0,
"august, 2016",Outlay,,-338438000000.0,
"september, 2016",Outlay,,-323178000000.0,
"october, 2017",Outlay,,-267523000000.0,
"november, 2017",Outlay,,-336544000000.0,
"december, 2017",Outlay,,-346540000000.0,
"january, 2017",Outlay,,-292812000000.0,
"february, 2017",Outlay,,-363757000000.0,
"march, 2017",Outlay,,-392816000000.0,
"april, 2017",Outlay,,-273177000000.0,
