month,fy,recpt,outlay,deficit,neg_outlays,amt_type
October,2016,211046.0,347604.0,136558.0,-347604.0,
November,2016,204968.0,267837.0,62869.0,-267837.0,
December,2016,349631.0,364075.0,14444.0,-364075.0,
January,2016,313579.0,258416.0,-55163.0,-258416.0,
February,2016,169147.0,361757.0,192610.0,-361757.0,
March,2016,227848.0,335891.0,108043.0,-335891.0,
April,2016,438432.0,331977.0,-106455.0,-331977.0,
May,2016,224604.0,277111.0,52507.0,-277111.0,
June,2016,329572.0,323320.0,-6252.0,-323320.0,
July,2016,209998.0,322817.0,112819.0,-322817.0,
August,2016,231327.0,338438.0,107112.0,-338438.0,
September,2016,356623.0,323178.0,-33445.0,-323178.0,
October,2017,221692.0,267523.0,45831.0,-267523.0,
November,2017,199875.0,336544.0,136669.0,-336544.0,
December,2017,319204.0,346540.0,27336.0,-346540.0,
January,2017,344069.0,292812.0,-51257.0,-292812.0,
February,2017,171713.0,363757.0,192044.0,-363757.0,
March,2017,216584.0,392816.0,176232.0,-392816.0,
April,2017,455605.0,273177.0,-182428.0,-273177.0,
May,2017,240418.0,328844.0,88426.0,-328844.0,
