deficit_ytd_M,outlays_fytd_M,amt_type,fy,month,date,recpt_ytd_M,amount_DS_fytd,amount_RO_fytd,deficit_fytd_as_neg
136558.0,211046.0,Receipt,2016,October,"October, 2016",-136558.0,136558000000.0,211046000000.0,-136558000000.0
199427.0,416014.0,Receipt,2016,November,"November, 2016",-199427.0,199427000000.0,416014000000.0,-199427000000.0
213871.0,765645.0,Receipt,2016,December,"December, 2016",-213871.0,213871000000.0,765645000000.0,-213871000000.0
158708.0,1079224.0,Receipt,2016,January,"January, 2016",-158708.0,158708000000.0,1079224000000.0,-158708000000.0
351318.0,1248371.0,Receipt,2016,February,"February, 2016",-351318.0,351318000000.0,1248371000000.0,-351318000000.0
459361.0,1476219.0,Receipt,2016,March,"March, 2016",-459361.0,459361000000.0,1476219000000.0,-459361000000.0
352906.0,1914651.0,Receipt,2016,April,"April, 2016",-352906.0,352906000000.0,1914651000000.0,-352906000000.0
405413.0,2139255.0,Receipt,2016,May,"May, 2016",-405413.0,405413000000.0,2139255000000.0,-405413000000.0
399161.0,2468827.0,Receipt,2016,June,"June, 2016",-399161.0,399161000000.0,2468827000000.0,-399161000000.0
511980.0,2678825.0,Receipt,2016,July,"July, 2016",-511980.0,511980000000.0,2678825000000.0,-511980000000.0
619092.0,2910152.0,Receipt,2016,August,"August, 2016",-619092.0,619092000000.0,2910152000000.0,-619092000000.0
585647.0,3266775.0,Receipt,2016,September,"September, 2016",-585647.0,585647000000.0,3266775000000.0,-585647000000.0
45831.0,221692.0,Receipt,2017,October,"October, 2017",-45831.0,45831000000.0,221692000000.0,-45831000000.0
182500.0,421567.0,Receipt,2017,November,"November, 2017",-182500.0,182500000000.0,421567000000.0,-182500000000.0
209836.0,740771.0,Receipt,2017,December,"December, 2017",-209836.0,209836000000.0,740771000000.0,-209836000000.0
158579.0,1084840.0,Receipt,2017,January,"January, 2017",-158579.0,158579000000.0,1084840000000.0,-158579000000.0
350623.0,1256553.0,Receipt,2017,February,"February, 2017",-350623.0,350623000000.0,1256553000000.0,-350623000000.0
526855.0,1473137.0,Receipt,2017,March,"March, 2017",-526855.0,526855000000.0,1473137000000.0,-526855000000.0
344427.0,1928742.0,Receipt,2017,April,"April, 2017",-344427.0,344427000000.0,1928742000000.0,-344427000000.0
432853.0,2169160.0,Receipt,2017,May,"May, 2017",-432853.0,432853000000.0,2169160000000.0,-432853000000.0
,-347604.0,Outlay,2016,October,"October, 2016",,,-347604000000.0,
,-615441.0,Outlay,2016,November,"November, 2016",,,-615441000000.0,
,-979516.0,Outlay,2016,December,"December, 2016",,,-979516000000.0,
,-1237932.0,Outlay,2016,January,"January, 2016",,,-1237932000000.0,
,-1599689.0,Outlay,2016,February,"February, 2016",,,-1599689000000.0,
,-1935580.0,Outlay,2016,March,"March, 2016",,,-1935580000000.0,
,-2267557.0,Outlay,2016,April,"April, 2016",,,-2267557000000.0,
,-2544668.0,Outlay,2016,May,"May, 2016",,,-2544668000000.0,
,-2867988.0,Outlay,2016,June,"June, 2016",,,-2867988000000.0,
,-3190805.0,Outlay,2016,July,"July, 2016",,,-3190805000000.0,
,-3529243.0,Outlay,2016,August,"August, 2016",,,-3529243000000.0,
,-3852421.0,Outlay,2016,September,"September, 2016",,,-3852421000000.0,
,-267523.0,Outlay,2017,October,"October, 2017",,,-267523000000.0,
,-604067.0,Outlay,2017,November,"November, 2017",,,-604067000000.0,
,-950607.0,Outlay,2017,December,"December, 2017",,,-950607000000.0,
,-1243419.0,Outlay,2017,January,"January, 2017",,,-1243419000000.0,
,-1607176.0,Outlay,2017,February,"February, 2017",,,-1607176000000.0,
,-1999992.0,Outlay,2017,March,"March, 2017",,,-1999992000000.0,
,-2273169.0,Outlay,2017,April,"April, 2017",,,-2273169000000.0,
,-2602013.0,Outlay,2017,May,"May, 2017",,,-2602013000000.0,
